transcriptions,label
значит так семь шестьдесят осадить на,-1
отказ хмм вот,-1
автосцепки автосцепки ой так,-1
освежевание освежевание я вот,-1
э тише вот,-1
подтверждение хмм так,-1
из из из вышел ты вот,-1
а типа на,-1
ты так тормозить,-1
подтверждение ты ой,-1
я магистрали зарядка тормозной так,-1
ты вот так отцепка,-1
отказ чёрт ой,-1
я двадцать так,-1
зарядка тормозной магистрали ты э,-1
ёмаё сжать сжать вот,-1
ой вот так блин назад,-1
ты вот осадить осадить на на,-1
растянуть ты я,-1
ой остановка вот так,-1
э осадить на вагон на вот,-1
ой так зарядка магистрали магистрали,-1
хмм магистрали магистрали магистрали хмм,-1
ты на так,-1
э магистрали зарядка тормозной хмм,-1
э вот так с с с,-1
пространства пространства из вышел ты так,-1
сжать сжать ой так,-1
освежевание продолжаем э э,-1
на протянуть протянуть протянуть ой так,-1
ой автосцепки сжать так,-1
ты ёмаё магистрали магистрали зарядку тормозной,-1
ёмаё аа отпустить ты ты,-1
э вперед с вперед вот,-1
прекратить ой так,-1
э так остановка,-1
аа вот так подтверждение,-1
э так короче четырнадцать,-1
я так захожу пространство межвагонное захожу,-1
а вот так подтверждение,-1
аа башмак на на хмм,-1
осадить короче вот так,-1
э протянуть протянуть протянуть на вот,-1
э так тормозной зарядка магистрали,-1
хмм с башмака назад вот,-1
впринципе ёмаё значит растянуть впринципе вот,-1
хмм вперед вперед вперед хмм,-1
хмм так освежевание освежевание,-1
э протянуть вагон вагон четырнадцать а,-1
магистрали зарядка тормозной э вот,-1
э башмак башмак назад ты,-1
э так отмена,-1
хмм хмм растянуть растянуть,-1
начать начать хмм хмм,-1
отмена я вот,-1
тише ой вот,-1
я вот так с вперед башмака,-1
ты захожу захожу пространство в так,-1
вагон я вот,-1
я блин в вот,-1
хмм вот так освежевание продолжаем,-1
я четырнадцать осадить вагон сорок хмм,-1
э вот типа автосцепки,-1
я роспуск вот,-1
а тормозной э э,-1
хмм вот так отмена,-1
магистрали зарядку прекратить зарядку я так,-1
я вот продолжаем освежевание,-1
ёмаё вот роспуск роспуск,-1
я подтверждение вот так,-1
ты значит продолжаем вот,-1
башмака я вот,-1
башмак назад башмак хмм вот так,-1
назад башмака с э вот так,-1
я вот так в в межвагонное межвагонное,-1
башмак назад на э вот так,-1
межвагонное межвагонное межвагонное пространство э э,-1
ты ой на башмак назад,-1
я вот так вагон,-1
хмм вот на башмак вперёд,-1
э башмак ой,-1
э вот захожу захожу межвагонное захожу,-1
я блин вперед с башмака,-1
вагон на на осадить хмм вот так,-1
ой автосцепки автосцепки так,-1
ой вот подтверждение,-1
хмм вперед с с вот так,-1
шестнадцать осадить ноль два я так,-1
ой так назад башмака назад,-1
отмена ой вот,-1
тише э так,-1
ты вот тормозить,-1
тормозить чёрт вот,-1
ой на вперёд башмак вот,-1
отмена э вот,-1
я а с ой,-1
ааа так отказ,-1
ты впринципе продолжаем ты,-1
хмм из межвагонного пространства межвагонного так,-1
межвагонное межвагонное межвагонное пространство хмм так,-1
я вот так освежевание,-1
чёрт роспуск ой вот,-1
начать осаживание ой хмм,-1
ноль сорок вагон осадить ааа вот так,-1
отмена ой э,-1
хмм отказ я,-1
э вот так вперёд вперёд на,-1
роспуск роспуск я вот так,-1
ты сжать э,-1
отмена хмм вот так,-1
ой вот так зарядка тормозной зарядка,-1
ты отпустить э,-1
хмм вот так межвагонного из вышел межвагонного,-1
вперед с с ой так,-1
тормозной прекратить магистрали зарядку э ты,-1
хмм башмака ты,-1
отцепка блин блин,-1
вагон один протянуть протянуть э вот так,-1
я так захожу,-1
ой отцепка вот так,-1
четырнадцать осадить осадить шесть э вот так,-1
с башмака с хмм я,-1
я автосцепки растянуть э,-1
с башмака башмака ой так,-1
с с с ты вот так,-1
назад башмака назад э ой,-1
значит растянуть растянуть хмм,-1
я блин значит автосцепки хмм,-1
ой значит башмак башмак назад,-1
я на башмак на вот,-1
типа вот так зарядка,-1
ты так отцепка,-1
хмм так сжать сжать,-1
блин вот так на башмак башмак,-1
ты на осадить шестнадцать девятнадцать так,-1
ты вагон на на пять я,-1
зарядку магистрали магистрали магистрали э вот так,-1
зарядка зарядка магистрали хмм вот так,-1
ты семь вагон на осадить ты,-1
я остановка вот так,-1
хмм вот значит с,-1
э вот так с с с,-1
продолжаем роспуск ой я,-1
хмм ой растянуть автосцепки,-1
хмм я назад назад с,-1
отказ ты так,-1
ты с с башмака так,-1
ой на на на так,-1
хмм пространство пространство захожу в вот,-1
отмена ты вот,-1
тормозной тормозной прекратить прекратить ой вот,-1
блин пространство межвагонное в в вот так,-1
ты ой три осадить вагон вагон,-1
хмм я продолжаем продолжаем,-1
растянуть растянуть хмм ты,-1
остановка хмм ты,-1
ой с так,-1
башмака назад с ты вот,-1
ты ёмаё тормозной вот так,-1
башмака башмака вперед э э,-1
хмм башмак на на так,-1
межвагонного вышел пространства межвагонного ты вот так,-1
на на на ёмаё вот,-1
ой так назад башмак на,-1
ты сжать сжать так,-1
ой вот осадить вагон один тридцать,-1
хмм так автосцепки сжать,-1
ой хмм автосцепки растянуть,-1
э на вперёд на вот так,-1
отказ хмм вот,-1
э отпустить вот,-1
освежевание продолжаем хмм вот так,-1
ты автосцепки вот так,-1
пространства пространства из пространства я ты,-1
ой вот ноль вагон на вагон,-1
на осадить осадить на ой так,-1
я продолжаем роспуск хмм,-1
э три вагон двадцать вагон ты,-1
с ой вот,-1
блин остановка вот,-1
начать осаживание ты типа,-1
тише хмм так,-1
роспуск роспуск я так,-1
э вагон четыре вагон осадить так,-1
аа вот так захожу пространство пространство в,-1
я так вперёд,-1
а так тише,-1
ёмаё блин тише так,-1
значит вот так отказ,-1
я из вот,-1
остановка э вот так,-1
э осадить так,-1
э блин пространство захожу захожу пространство,-1
ой так роспуск,-1
тормозить я так,-1
хмм так автосцепки автосцепки,-1
значит башмак на башмак вот так,-1
захожу ой вот,-1
ты вагон вагон вагон осадить хмм,-1
ты так на вперёд на,-1
осаживание ёмаё так,-1
я осаживание начать вот так,-1
продолжаем роспуск ты вот так,-1
ой на вагон вагон вагон вот,-1
ой в пространство пространство в вот,-1
ты так на вагон протянуть тринадцать,-1
на назад башмак а так,-1
э так остановка,-1
начать э вот так,-1
э так тормозить,-1
я так блин аа чёрт в,-1
ой вот так продолжаем роспуск,-1
э начать начать вот,-1
типа с башмака с ты,-1
восемнадцать вагон вагон вагон блин вот так,-1
башмака э так,-1
я отмена вот так,-1
чёрт магистрали тормозной тормозной так,-1
э э отцепка,-1
э автосцепки хмм,-1
ой вот так башмака вперед с,-1
э отмена так,-1
ёмаё автосцепки сжать блин,-1
вперед вперед с блин я,-1
вагон протянуть протянуть на э аа,-1
ты отмена вот,-1
я так остановка,-1
с назад с ой вот так,-1
ой короче тормозной зарядка магистрали,-1
э осаживание начать хмм,-1
я в захожу в межвагонное так,-1
сжать автосцепки ой вот так,-1
я отцепка э,-1
э остановка я,-1
ты вот так тормозной зарядку прекратить тормозной,-1
э так пространства,-1
продолжаем продолжаем хмм ты,-1
я прекратить прекратить прекратить тормозной так,-1
ты освежевание продолжаем ты,-1
ааа начать начать вот,-1
я с с назад ой,-1
девяносто девять на протянуть хмм вот,-1
хмм значит башмака вот,-1
хмм назад башмака башмака вот,-1
башмака вперед вперед я вот так,-1
ой вот так сжать,-1
ой а захожу вот,-1
э освежевание продолжаем э,-1
ой продолжаем освежевание так,-1
хмм зарядку зарядку магистрали зарядку вот так,-1
впринципе на осадить осадить двенадцать вот,-1
э автосцепки растянуть вот,-1
зарядка э хмм,-1
хмм вот так зарядка,-1
ты ты отпустить,-1
ой так автосцепки сжать,-1
подтверждение ты ты,-1
растянуть а вот так,-1
башмак вперёд на ты так,-1
хмм ой магистрали,-1
ааа чёрт блин автосцепки хмм вот так,-1
подтверждение э ты,-1
осадить осадить двенадцать осадить ты вот так,-1
хмм растянуть растянуть вот так,-1
хмм назад назад назад вот так,-1
зарядку тормозной зарядку прекратить я вот,-1
я подтверждение вот так,-1
десять осадить вагон осадить хмм вот,-1
на я вот,-1
я вот с башмака башмака,-1
хмм вот так осаживание осаживание,-1
межвагонное пространство пространство в э вот,-1
остановка ты вот так,-1
автосцепки растянуть ёмаё вот так,-1
хмм я пространства межвагонного пространства пространства,-1
аа автосцепки автосцепки чёрт,-1
э вот так осаживание,-1
отмена я вот,-1
продолжаем продолжаем я вот так,-1
с с вперед э хмм,-1
ой вот остановка,-1
ёмаё на назад на вот,-1
типа я на назад на,-1
тормозной магистрали зарядку зарядку хмм вот так,-1
отмена ой так,-1
ты остановка вот так,-1
отцепка я ааа,-1
ой вот начать,-1
отцепка хмм вот,-1
ты вот так продолжаем продолжаем,-1
хмм ой назад назад назад,-1
ой вот так тормозной тормозной зарядку тормозной,-1
ой так магистрали зарядка зарядка,-1
э в в межвагонное межвагонное вот,-1
э вагон вагон двадцать осадить вот так,-1
на на вперёд я так,-1
назад назад с ааа ой,-1
начать осаживание типа э,-1
хмм ой роспуск,-1
ты вот магистрали магистрали магистрали,-1
аа отмена так,-1
ой освежевание освежевание вот так,-1
ой вот межвагонное в в пространство,-1
отцепка ты вот,-1
автосцепки сжать хмм вот так,-1
ой так на двенадцать осадить сто,-1
вагон вагон протянуть на впринципе так,-1
захожу захожу пространство пространство хмм ты,-1
отмена я так,-1
хмм вот так назад назад башмака,-1
подтверждение хмм вот,-1
ой в пространство пространство захожу так,-1
автосцепки автосцепки ой аа,-1
назад на на хмм вот,-1
э вот так тише,-1
ты вот так ааа осаживание,-1
значит чёрт автосцепки,-1
э так тише,-1
пространства из пространства вышел я вот так,-1
ты вот отцепка,-1
я хмм пространство в пространство захожу,-1
э отказ вот,-1
э вот автосцепки сжать,-1
хмм вот начать,-1
я ты башмак вперёд на,-1
значит на назад на вот так,-1
подтверждение я я,-1
ой вот с с башмака,-1
ой блин тормозной вот,-1
хмм на башмак вперёд вот так,-1
хмм аа продолжаем освежевание,-1
я я отмена,-1
э из пространства межвагонного пространства я,-1
автосцепки сжать ааа ты,-1
хмм автосцепки автосцепки ой,-1
отмена э э,-1
э вот ааа а короче назад,-1
ой вот автосцепки сжать,-1
хмм зарядка тормозной зарядка так,-1
я осаживание осаживание так,-1
сжать автосцепки я вот так,-1
блин продолжаем продолжаем э,-1
ой так назад назад назад,-1
с назад с ты э,-1
ой вот так сжать сжать,-1
ой вперёд на на так,-1
хмм вот на башмак вперёд,-1
короче вот так тормозить,-1
я продолжаем продолжаем хмм,-1
впринципе автосцепки автосцепки так,-1
я ты отказ,-1
межвагонного пространства из пространства ой так,-1
ты в межвагонное в в вот,-1
я так захожу межвагонное межвагонное в,-1
осадить осадить осадить вагон ой ты,-1
тише ты хмм,-1
подтверждение а вот так,-1
короче автосцепки сжать так,-1
отмена ой вот,-1
освежевание освежевание ой вот так,-1
хмм так а тормозной,-1
блин хмм ааа роспуск,-1
отцепка э ой,-1
блин ой остановка,-1
роспуск роспуск э вот,-1
я э отмена,-1
остановка ты так,-1
тормозной прекратить прекратить магистрали ой я,-1
впринципе вот так автосцепки,-1
хмм продолжаем роспуск так,-1
ты продолжаем освежевание вот так,-1
значит вот так зарядку прекратить зарядку тормозной,-1
я ой из вышел пространства пространства,-1
отказ я ой,-1
э башмака вот так,-1
короче значит сжать вот,-1
я сжать сжать вот так,-1
отцепка а вот так,-1
хмм тормозить вот так,-1
впринципе так вагон протянуть на протянуть,-1
я отцепка вот,-1
ты вот зарядку магистрали тормозной прекратить,-1
ой э зарядку тормозной тормозной тормозной,-1
башмак на башмак я э,-1
я продолжаем роспуск вот,-1
блин блин осадить э так,-1
тормозить ты вот так,-1
магистрали зарядку прекратить прекратить хмм вот так,-1
хмм вот протянуть тридцать протянуть на,-1
шесть осадить вагон осадить ой хмм,-1
э а впринципе впринципе пространства вот так,-1
ааа вот вперёд,-1
башмака э я,-1
ой на башмак на а,-1
я осаживание начать хмм,-1
хмм вот назад,-1
чёрт вперёд на вперёд ой,-1
я отпустить вот,-1
э осаживание осаживание вот так,-1
протянуть сто три протянуть ты вот,-1
я я межвагонное в межвагонное пространство,-1
ты вот отцепка,-1
хмм отцепка я,-1
роспуск роспуск э хмм,-1
хмм э шесть вагон на вагон,-1
вперед хмм вот,-1
впринципе я магистрали зарядка тормозной,-1
я вот так подтверждение,-1
ты вот отпустить,-1
э ой тормозной,-1
я так освежевание освежевание,-1
автосцепки сжать типа так,-1
протянуть на протянуть вагон э вот так,-1
ты с с вперед ой,-1
подтверждение э вот,-1
я ты продолжаем продолжаем,-1
ты вперёд башмак на ты,-1
освежевание освежевание блин вот так,-1
аа вот растянуть растянуть,-1
э башмака я,-1
короче ты из вышел из межвагонного,-1
из межвагонного пространства из хмм вот так,-1
э продолжаем освежевание вот,-1
продолжаем роспуск э вот,-1
хмм назад вот так,-1
магистрали тормозной магистрали ааа так,-1
ты вот так вагон протянуть вагон вагон,-1
э вот тормозить,-1
на на вагон двадцать хмм вот,-1
ой хмм пространства межвагонного из межвагонного,-1
отказ я хмм,-1
подтверждение я вот,-1
ты башмак башмак башмак ой,-1
впринципе блин тормозить,-1
ой так отказ,-1
я ой отпустить,-1
я начать начать короче,-1
ты так прекратить зарядку зарядку тормозной,-1
хмм вот пространства вышел пространства межвагонного,-1
ты межвагонное вот,-1
ой тише вот,-1
межвагонное в межвагонное в я вот,-1
впринципе остановка вот так,-1
э вот осаживание,-1
продолжаем освежевание я так,-1
ой прекратить вот так,-1
ой захожу захожу захожу пространство вот так,-1
назад башмак на ой вот,-1
хмм вот так осаживание осаживание,-1
ты тише э,-1
на осадить на осадить блин так,-1
ой вот протянуть вагон на на,-1
начать хмм вот так,-1
аа тормозить хмм,-1
я межвагонного из пространства вышел вот так,-1
отказ э вот так,-1
ой ой в пространство в захожу,-1
я зарядка магистрали тормозной вот,-1
блин блин на ой так,-1
отказ ты так,-1
ой вот сжать сжать,-1
отказ ой ой,-1
начать осаживание ты ой,-1
на на башмак э хмм,-1
ааа ой тормозной прекратить тормозной зарядку,-1
блин растянуть короче вот,-1
захожу захожу в захожу хмм так,-1
роспуск продолжаем хмм так,-1
ты с с с вот,-1
ты так сжать автосцепки,-1
ёмаё освежевание продолжаем вот,-1
ой отпустить э,-1
ой назад башмака с так,-1
вперед вперед вперед впринципе ты,-1
хмм вот продолжаем продолжаем,-1
хмм вот тормозной тормозной тормозной тормозной,-1
хмм вот тормозить,-1
осадить ой так,-1
на протянуть пятьдесят вагон э впринципе,-1
э на башмак на вот,-1
пространства пространства пространства межвагонного э я,-1
хмм сжать автосцепки вот,-1
хмм э башмак на башмак,-1
я из вышел пространства вышел так,-1
вагон вагон десять на ты вот так,-1
хмм так начать осаживание,-1
сжать сжать типа короче,-1
из э так,-1
ты вот так пространство пространство межвагонное пространство,-1
хмм на назад башмак вот так,-1
я я освежевание,-1
ты осаживание осаживание так,-1
ой э автосцепки,-1
ты так начать начать,-1
отказ хмм вот так,-1
